fecha,BBAR,BMA,CEPU,CRESY,EDN,GGAL,IRS,LOMA,PAM,SUPV,TEO,TGS,TS,TX,YPF
2026-05-28,17.62,87.8,15.19,11.86,26.74,48.83,14.81,11.73,84.09,9.29,13.81,30.78,59.99,49.04,52.0
2026-05-27,17.5,85.26,15.39,11.78,26.5,48.18,15.03,11.86,83.61,9.22,13.98,30.36,60.68,49.67,51.59
2026-05-26,16.65,79.84,14.46,11.34,24.67,45.91,14.62,11.53,81.08,8.44,12.74,29.35,62.69,49.41,48.6
2026-05-22,15.28,75.95,13.91,11.02,24.1,43.55,14.02,10.95,80.68,7.93,11.86,29.07,61.61,46.99,47.99
2026-05-21,16.26,78.33,14.47,11.11,25.0,44.01,14.14,11.29,81.71,8.36,11.87,29.96,61.77,44.82,47.94
2026-05-20,14.94,72.11,13.96,10.85,24.35,42.02,13.74,10.8,79.44,7.79,11.7,28.63,60.69,44.56,47.07
2026-05-19,13.97,69.03,13.9,10.48,23.39,39.95,13.41,10.42,82.41,7.35,11.58,30.19,60.84,42.19,47.96
2026-05-18,14.76,72.58,14.32,10.96,23.91,42.3,13.95,10.88,82.77,7.84,11.92,30.74,60.88,42.85,47.48
2026-05-15,14.26,70.25,13.75,10.63,22.43,40.79,13.37,10.39,79.36,7.5,11.82,29.42,60.58,42.78,43.66
2026-05-14,14.81,71.22,14.29,10.69,23.5,41.85,13.69,10.79,80.25,7.89,12.41,29.64,61.62,44.17,44.17
2026-05-13,14.44,70.95,14.18,10.6,23.15,41.79,13.49,10.48,79.95,7.63,11.82,29.36,62.37,44.26,43.53
2026-05-12,14.93,72.71,14.24,10.78,24.16,42.19,13.74,10.61,82.4,7.82,11.69,29.85,61.29,44.2,44.95
2026-05-11,15.56,74.15,14.54,11.16,24.47,43.54,13.98,10.95,81.9,8.18,11.56,30.28,60.67,44.71,44.93
2026-05-08,14.83,72.91,14.11,11.15,23.37,41.34,13.94,11.02,78.72,7.97,11.82,29.35,58.65,45.58,42.37
2026-05-07,15.36,74.28,14.59,11.23,24.46,42.6,14.7,11.1,82.5,8.58,11.99,30.66,57.82,44.9,42.8
2026-05-06,15.62,76.37,15.33,11.54,25.75,42.8,15.03,11.7,83.4,8.74,12.29,31.56,61.22,47.04,43.26
2026-05-05,14.44,69.08,14.27,11.12,24.46,40.07,14.5,11.29,78.77,8.14,11.63,29.77,62.25,42.85,43.97
